categoryName,categoryDescription,,,,
Interesting,Cras blandit ac metus quis venenatis,,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Tante Lisbeth,empty,http://www.pyonen.de/tantelisbeth/,"Muskauer Straße 49, 10997 Berlin",52.501237,13.431944
Badeschiff,empty,http://www.arena-berlin.de/badeschiff/?flagtext=Badeschiff,"Eichenstrasse 4, 12435 Berlin",52.496858,13.454832
Schwarzlicht Minigolf,empty,http://www.indoor-minigolf-berlin.de/,"Görlitzer Strasse 1, 10997 Berlin",52.499102,13.432717
Etsy Labs,empty,http://www.etsy.com/blog/de/category/labs/,"Ritterstraße 12-14, 10969 Berlin",52.501281,13.410904
"Jung, Grün and Blau",empty,http://junggrunblau.com/info/,(upon reservation),0,0
Liquidrom Berlin,empty,http://www.liquidrom-berlin.de,"Möckernstrasse 10, 10963 Berlin",52.501464,13.381974
